idx,archivo,mst_score,r,g,b,hand_scale
30038,00030038.jpg,6,207.74,146.98,139.07,0.026437797045144974
14263,00014263.jpg,8,89.42,61.99,62.4,0.03093809057235501
17329,00017329.jpg,4,232.54,184.03,197.82,0.031027333192965946
21529,00021529.jpg,7,148.75,116.54,105.72,0.028052011849996065
8944,00008944.jpg,9,71.9,60.09,47.84,0.02770298811046169
6496,00006496.jpg,6,190.13,132.03,124.67,0.031875007300924685
22250,00022250.jpg,6,187.68,161.54,140.82,0.02411783958516654
11715,00011715.jpg,6,185.46,133.43,156.03,0.03088827925308239
26157,00026157.jpg,7,160.0,117.96,104.27,0.02778557412895042
8355,00008355.jpg,5,218.65,166.9,156.69,0.03452962981379788
31237,00031237.jpg,7,133.58,104.93,98.77,0.032052926304894674
18109,00018109.jpg,6,192.73,133.97,122.94,0.02507502286886454
12418,00012418.jpg,8,97.78,71.01,69.47,0.022254167614942033
11076,00011076.jpg,9,84.23,59.84,50.47,0.033187636469255176
29997,00029997.jpg,5,246.39,165.03,165.9,0.035231360535959336
25686,00025686.jpg,8,130.06,82.93,65.46,0.03126623400560002
19180,00019180.jpg,5,198.33,145.94,157.89,0.03437447062431535
21354,00021354.jpg,8,112.45,82.13,86.01,0.030308717070299897
6729,00006729.jpg,8,100.77,73.49,72.39,0.02442282827054065
16423,00016423.jpg,7,164.25,99.06,131.22,0.023589942910413452
22897,00022897.jpg,6,166.38,125.88,138.41,0.0319855236108659
9985,00009985.jpg,8,102.61,73.69,70.03,0.0321938504272354
28284,00028284.jpg,9,73.56,55.61,50.44,0.03302606697754727
8288,00008288.jpg,5,215.88,171.73,160.4,0.033924836927062246
14762,00014762.jpg,6,182.93,130.36,117.68,0.028574710643271776
16652,00016652.jpg,5,211.25,167.09,148.65,0.021372867204242897
23788,00023788.jpg,5,223.53,168.79,151.88,0.02541237208033742
7137,00007137.jpg,7,163.76,117.23,104.93,0.02029689849695175
16369,00016369.jpg,4,223.44,174.99,183.82,0.030463971718769776
22493,00022493.jpg,7,155.02,114.19,106.74,0.022315259119484367
17526,00017526.jpg,7,155.46,108.26,101.22,0.032546673464033476
26355,00026355.jpg,5,212.91,137.85,188.34,0.03319724075284356
19362,00019362.jpg,8,95.94,67.47,70.87,0.03556535278554833
7039,00007039.jpg,4,253.78,191.33,187.27,0.03037286590421671
14524,00014524.jpg,6,184.44,138.9,125.26,0.023037609125860812
29165,00029165.jpg,7,138.05,89.78,106.03,0.020756659574306804
14858,00014858.jpg,9,70.62,59.23,41.88,0.026882227912198572
27582,00027582.jpg,6,186.93,117.51,158.14,0.02899200016377321
4241,00004241.jpg,7,152.66,116.55,108.29,0.025881949607299667
21868,00021868.jpg,8,93.46,64.18,63.0,0.03301685858842074
22762,00022762.jpg,7,154.76,100.77,136.34,0.02899057168687756
25858,00025858.jpg,9,74.61,57.6,50.39,0.03279975842667843
26891,00026891.jpg,6,191.55,148.74,133.24,0.029408955626512932
30349,00030349.jpg,7,120.25,90.86,93.41,0.03410469945270126
18462,00018462.jpg,5,214.93,152.08,149.59,0.029959065301367147
2437,00002437.jpg,8,107.89,92.84,65.93,0.030089929780310776
6028,00006028.jpg,8,115.67,89.36,81.08,0.027352095832224102
7836,00007836.jpg,7,145.26,104.05,92.86,0.03176672464781858
8606,00008606.jpg,7,151.43,114.9,113.21,0.02879600739370952
16323,00016323.jpg,5,235.39,163.64,159.05,0.03243830893345596
15187,00015187.jpg,7,140.47,107.58,99.08,0.02482472825404438
10478,00010478.jpg,7,165.98,116.72,102.9,0.02937084142684997
13918,00013918.jpg,6,190.52,132.87,160.08,0.023376859354184334
26623,00026623.jpg,7,151.76,117.53,109.27,0.03260211113154441
28532,00028532.jpg,7,118.61,89.67,84.81,0.033431318119886956
31269,00031269.jpg,7,123.36,93.83,85.65,0.032639874891137136
56,00000056.jpg,7,137.64,100.83,98.39,0.02988302624978959
24997,00024997.jpg,8,85.57,57.48,55.7,0.026225393639597486
6949,00006949.jpg,7,125.35,99.02,99.93,0.025757413985257414
2531,00002531.jpg,8,98.07,71.75,66.21,0.029599470903484297
7999,00007999.jpg,6,183.81,146.33,131.06,0.02726163770115176
28429,00028429.jpg,8,110.01,84.33,80.61,0.03053793717551077
3053,00003053.jpg,5,212.42,165.49,158.19,0.02861456849568044
8254,00008254.jpg,6,182.26,133.75,114.76,0.02071631279678096
30063,00030063.jpg,7,125.14,92.54,81.76,0.0215510799197804
18080,00018080.jpg,8,92.24,63.23,59.26,0.03362629835605141
16071,00016071.jpg,8,113.8,89.15,78.17,0.030453501464920277
2525,00002525.jpg,4,248.09,174.21,173.76,0.03316695112000034
25028,00025028.jpg,7,163.31,120.9,104.69,0.0272193955431049
5072,00005072.jpg,7,141.15,106.85,89.49,0.033361649216104274
28216,00028216.jpg,7,117.6,89.81,87.72,0.03078418994006231
22210,00022210.jpg,8,86.9,64.67,54.53,0.031231704312276908
9967,00009967.jpg,8,116.32,85.37,72.75,0.030584299222852707
22262,00022262.jpg,5,200.02,159.45,160.86,0.03243145524261818
30254,00030254.jpg,5,206.99,158.55,145.52,0.024699538247118735
12939,00012939.jpg,8,106.24,81.51,66.23,0.03310073004596524
11450,00011450.jpg,5,226.54,156.99,157.9,0.03190256146326547
7844,00007844.jpg,7,113.8,95.24,96.52,0.01942277705114509
8954,00008954.jpg,5,204.56,146.4,148.54,0.028380679845470602
4811,00004811.jpg,5,207.08,158.68,171.03,0.02927600541521247
27821,00027821.jpg,6,182.08,131.99,121.81,0.02807270566191165
9179,00009179.jpg,6,172.74,130.39,125.7,0.029337017168244016
3460,00003460.jpg,6,180.04,131.55,112.83,0.028462953611070034
23689,00023689.jpg,5,214.45,159.11,173.19,0.02452237816070974
3610,00003610.jpg,8,103.29,79.9,69.42,0.0325061693550507
20005,00020005.jpg,6,190.01,139.88,123.86,0.030839046988345317
3697,00003697.jpg,7,150.54,115.44,124.53,0.02857628247410636
1430,00001430.jpg,5,231.16,153.73,174.37,0.028314161026327698
11138,00011138.jpg,5,199.55,153.41,157.54,0.03192503985958759
3126,00003126.jpg,7,125.11,97.28,85.54,0.03055148834903037
28032,00028032.jpg,7,158.62,120.65,115.97,0.0300889206353475
28285,00028285.jpg,7,150.78,103.16,126.51,0.031752749762348896
6339,00006339.jpg,6,186.31,137.61,115.54,0.029765378906484626
30964,00030964.jpg,8,94.64,70.15,83.16,0.03293165085037996
14279,00014279.jpg,1,251.88,226.17,242.76,0.02732974505739084
18030,00018030.jpg,7,144.08,106.06,118.23,0.030282650133736464
17464,00017464.jpg,5,205.81,157.3,151.72,0.033887699686012206
9528,00009528.jpg,8,102.45,70.64,82.34,0.023301247113851932
19937,00019937.jpg,6,211.75,139.11,136.56,0.02231617163573984
5878,00005878.jpg,5,203.75,151.0,174.22,0.022370604029233365
16988,00016988.jpg,5,205.57,152.27,143.75,0.02993820332622313
16333,00016333.jpg,9,76.09,51.93,44.55,0.032502441415425576
23877,00023877.jpg,5,234.99,169.25,157.39,0.03348494647999835
8879,00008879.jpg,8,79.22,69.49,57.97,0.027312776653964598
27145,00027145.jpg,5,229.39,157.18,167.9,0.0307138884936816
9277,00009277.jpg,5,220.44,159.52,154.6,0.022466025664923294
12349,00012349.jpg,5,221.11,157.11,141.98,0.033341946105120944
13450,00013450.jpg,8,107.3,67.31,64.17,0.02481748051488122
30580,00030580.jpg,6,178.52,132.59,112.82,0.027390420489003142
25020,00025020.jpg,6,195.74,148.24,134.38,0.02703716276555924
16940,00016940.jpg,6,168.73,124.89,115.1,0.022971245593535305
14600,00014600.jpg,5,214.78,159.7,150.02,0.026900138967413955
7562,00007562.jpg,8,100.29,76.56,60.07,0.03106275250732964
7009,00007009.jpg,7,117.06,94.49,96.61,0.034650034097038686
23091,00023091.jpg,6,195.21,153.2,129.1,0.02709012324401374
17722,00017722.jpg,7,138.18,99.01,87.4,0.03238811209015899
2603,00002603.jpg,7,128.17,95.89,86.17,0.03030836010820577
13543,00013543.jpg,6,167.38,122.96,120.19,0.029984800466456202
32064,00032064.jpg,5,212.39,153.58,128.48,0.021913077687157258
22996,00022996.jpg,6,165.99,125.88,118.01,0.033688192327526435
1373,00001373.jpg,7,138.91,113.93,113.58,0.02375300055411567
4487,00004487.jpg,7,153.98,102.9,129.25,0.029301700810500316
5253,00005253.jpg,8,119.23,87.68,76.25,0.03081377876881489
3721,00003721.jpg,5,200.1,150.49,148.67,0.02871483426609105
26320,00026320.jpg,8,102.2,79.49,80.17,0.024384404529546256
16118,00016118.jpg,8,118.77,75.6,90.63,0.02668957654709353
26794,00026794.jpg,7,127.57,95.92,102.24,0.02781939545755595
13328,00013328.jpg,6,167.58,113.92,129.25,0.027948534093206134
4160,00004160.jpg,8,100.18,69.61,73.0,0.03254091798207606
12693,00012693.jpg,5,208.18,158.85,148.23,0.030033114485642883
21805,00021805.jpg,6,165.67,124.11,112.46,0.033585517026170277
32388,00032388.jpg,4,232.4,169.4,194.39,0.027383069132751403
22412,00022412.jpg,8,103.25,80.76,51.42,0.03245849697797081
11896,00011896.jpg,5,210.19,143.8,142.19,0.01752323995012108
8075,00008075.jpg,6,162.17,117.04,126.77,0.026533247022250715
13666,00013666.jpg,6,191.72,151.23,148.75,0.02036578406477079
16360,00016360.jpg,7,146.95,113.55,96.53,0.031787790514429815
31954,00031954.jpg,6,196.97,133.98,127.21,0.02077053029758076
10944,00010944.jpg,6,176.48,138.52,147.07,0.02319294913800063
10667,00010667.jpg,7,140.51,102.9,98.27,0.03368507993510009
28724,00028724.jpg,7,166.58,128.91,99.69,0.03277688708124451
6454,00006454.jpg,6,182.58,125.19,141.62,0.029698245896128062
26449,00026449.jpg,6,189.47,133.36,158.5,0.030969053313067978
15902,00015902.jpg,6,146.22,130.37,167.14,0.029277726894797296
18835,00018835.jpg,8,112.19,69.98,74.44,0.03059027289424225
296,00000296.jpg,6,174.61,127.51,106.96,0.02674950984658768
26101,00026101.jpg,7,124.66,96.27,91.03,0.028997145059278428
29778,00029778.jpg,6,193.91,143.96,121.48,0.023038477139454953
7639,00007639.jpg,6,178.93,134.53,128.0,0.02563522907496897
20986,00020986.jpg,6,179.96,119.57,107.42,0.026404339420815777
28327,00028327.jpg,5,215.17,165.69,165.0,0.02843890270436576
28540,00028540.jpg,6,183.86,122.57,151.59,0.030206726104538104
9088,00009088.jpg,7,144.01,90.84,107.78,0.03288079576228369
23374,00023374.jpg,7,157.76,126.93,110.64,0.02751860424000901
28432,00028432.jpg,6,192.64,126.91,125.82,0.02790936968259768
4414,00004414.jpg,6,174.03,132.33,123.9,0.029403418820405293
2876,00002876.jpg,8,101.6,78.39,73.72,0.030485239990086697
1193,00001193.jpg,8,110.4,82.35,73.54,0.02850683613153482
17880,00017880.jpg,6,173.64,135.04,114.96,0.03382013364956987
25090,00025090.jpg,5,217.91,165.64,155.93,0.02634806681379929
8843,00008843.jpg,7,122.56,97.97,100.13,0.0357110278225546
5307,00005307.jpg,7,148.83,110.13,99.1,0.02653089005582289
25098,00025098.jpg,7,117.09,91.78,90.39,0.0336523554884381
25106,00025106.jpg,5,232.17,164.27,170.08,0.03425304612622414
21162,00021162.jpg,7,149.18,98.26,130.34,0.026867988641056266
6901,00006901.jpg,8,105.0,70.12,72.03,0.03241033750910993
14140,00014140.jpg,6,203.58,143.78,133.06,0.033587328278361896
11924,00011924.jpg,7,143.06,117.85,102.38,0.026937778539328893
6946,00006946.jpg,8,99.76,83.44,62.73,0.0293842809561156
24670,00024670.jpg,7,127.65,88.05,99.25,0.032248225061715347
14812,00014812.jpg,6,181.57,131.13,116.88,0.029985379835659864
13129,00013129.jpg,7,139.86,108.67,94.38,0.03216435165457521
13326,00013326.jpg,7,157.51,108.59,125.5,0.028560987542794212
78,00000078.jpg,8,99.8,63.55,70.26,0.02599257514085889
18141,00018141.jpg,7,154.87,119.35,115.61,0.02869406257684868
17470,00017470.jpg,7,141.43,103.15,105.6,0.029703822928357253
7344,00007344.jpg,5,206.61,157.88,143.73,0.028823824708587277
15136,00015136.jpg,8,88.48,57.66,52.78,0.02559340648378707
18588,00018588.jpg,8,70.63,69.17,83.47,0.029402329171973808
23875,00023875.jpg,7,163.66,119.68,109.23,0.03371998770950233
13505,00013505.jpg,9,76.69,60.52,44.71,0.02900734997351285
19232,00019232.jpg,6,171.69,131.47,130.85,0.02950807620317203
30309,00030309.jpg,8,111.7,88.89,57.07,0.03280758916330988
13906,00013906.jpg,5,206.46,145.14,153.29,0.020390192382222987
28937,00028937.jpg,8,89.62,65.93,61.2,0.030521470603225572
3084,00003084.jpg,8,102.68,77.79,68.02,0.02223760936357216
23964,00023964.jpg,7,148.71,109.91,122.3,0.030657973397212226
27927,00027927.jpg,6,202.2,138.71,122.56,0.031823144108575306
2882,00002882.jpg,6,200.38,140.59,151.75,0.031085322150574874
22095,00022095.jpg,5,217.44,161.7,155.1,0.02798832647239669
24457,00024457.jpg,6,191.67,142.25,137.59,0.029601381912313325
5510,00005510.jpg,8,97.44,48.16,97.65,0.022368740871750774
23847,00023847.jpg,8,105.3,84.13,79.19,0.029012120058537566
31625,00031625.jpg,6,181.37,117.57,117.01,0.026235215420780597
21147,00021147.jpg,6,166.64,101.36,157.17,0.03025439349521605
8870,00008870.jpg,4,241.5,183.58,180.95,0.016437862166038816
21730,00021730.jpg,5,208.66,159.78,146.58,0.027233611705071336
12057,00012057.jpg,7,122.02,96.17,73.12,0.03036290056407664
4524,00004524.jpg,5,206.18,120.0,181.59,0.03295541118709844
15617,00015617.jpg,8,100.64,83.2,57.01,0.031209993173399064
2244,00002244.jpg,8,80.38,65.9,61.75,0.02667447032225025
21565,00021565.jpg,7,157.87,116.42,100.64,0.029614797872363558
11037,00011037.jpg,9,68.85,55.42,39.05,0.02915815061749722
20325,00020325.jpg,8,116.88,88.01,75.58,0.031235643587265716
10609,00010609.jpg,7,149.56,111.24,102.92,0.02664646358453362
28269,00028269.jpg,5,213.63,153.2,141.44,0.026968530257701465
23772,00023772.jpg,8,107.46,100.92,62.92,0.0324161873758636
31683,00031683.jpg,2,238.7,183.38,218.61,0.027568756388294594
24751,00024751.jpg,8,111.39,89.87,75.06,0.01898508173945438
18068,00018068.jpg,7,114.47,96.6,82.23,0.030147773197460315
14372,00014372.jpg,8,85.34,64.88,63.0,0.034854277303082666
30982,00030982.jpg,7,149.11,119.99,123.41,0.021570183084803272
25128,00025128.jpg,4,230.69,139.09,226.14,0.0311393128286936
15729,00015729.jpg,6,197.68,144.46,148.06,0.027649284948687514
10520,00010520.jpg,6,188.55,143.72,145.73,0.03427845554210695
11859,00011859.jpg,5,216.58,161.81,171.42,0.020682008872867568
23565,00023565.jpg,7,153.68,120.79,114.44,0.024839028949959836
16269,00016269.jpg,7,151.04,104.28,96.73,0.03464326054506151
14547,00014547.jpg,6,170.62,117.59,131.9,0.02875623498758406
1162,00001162.jpg,7,146.77,103.99,116.85,0.028205914037858732
2130,00002130.jpg,6,171.86,128.97,116.9,0.02522152049019973
30401,00030401.jpg,3,244.79,203.5,203.83,0.0300421527869766
10082,00010082.jpg,5,218.44,171.12,167.23,0.027758593882236737
3977,00003977.jpg,5,219.55,162.39,181.32,0.033084990580227354
7,00000007.jpg,9,55.47,50.3,36.1,0.03364934451390801
17654,00017654.jpg,8,106.83,74.49,78.52,0.02500672555144211
5433,00005433.jpg,8,92.48,67.93,78.47,0.029723803387235938
20743,00020743.jpg,6,185.7,138.67,123.54,0.03341974716921512
19019,00019019.jpg,8,90.97,74.98,48.54,0.03277765887349404
9085,00009085.jpg,7,118.35,99.01,80.16,0.028602589688223063
21348,00021348.jpg,7,147.23,98.58,90.58,0.024802455751240255
31130,00031130.jpg,4,225.82,169.84,185.54,0.029038692486282904
769,00000769.jpg,6,202.35,151.26,136.95,0.034928133342676485
22150,00022150.jpg,5,198.04,166.6,173.47,0.022222989633760345
17024,00017024.jpg,4,234.74,177.95,179.82,0.03410310750102608
7497,00007497.jpg,8,85.17,78.15,70.53,0.0283833895839654
20464,00020464.jpg,6,189.86,142.1,120.21,0.030732651652548203
31743,00031743.jpg,6,192.59,140.01,127.6,0.033486115894862445
6424,00006424.jpg,8,107.58,99.67,63.18,0.03310405043619408
29024,00029024.jpg,8,105.36,79.03,73.46,0.029878290371196534
29210,00029210.jpg,7,161.28,119.03,110.69,0.031042178646047018
4495,00004495.jpg,8,105.21,80.68,73.33,0.03223619562262954
7869,00007869.jpg,5,236.32,180.08,157.01,0.032195984215113965
22866,00022866.jpg,5,201.51,166.54,164.33,0.02892853899289445
23635,00023635.jpg,8,113.17,85.28,81.14,0.02919137021846621
23904,00023904.jpg,7,155.74,115.35,115.24,0.024767593690582675
31318,00031318.jpg,6,201.73,151.64,136.99,0.02996569977308879
16288,00016288.jpg,6,168.8,120.09,172.78,0.021837330768737527
1359,00001359.jpg,7,120.55,89.84,83.59,0.03209577882968929
6074,00006074.jpg,6,173.46,129.24,138.25,0.030097014515805612
2034,00002034.jpg,5,211.55,158.88,149.01,0.0318990321754345
27669,00027669.jpg,8,113.25,63.32,50.04,0.027310449464088983
26389,00026389.jpg,5,210.32,145.17,150.55,0.023057712861354968
16828,00016828.jpg,6,174.06,128.06,116.64,0.028890685419415998
8976,00008976.jpg,6,199.51,135.37,122.77,0.02941416290555216
28903,00028903.jpg,6,182.64,129.33,149.67,0.028317528103109446
3267,00003267.jpg,6,190.52,138.7,143.17,0.030629105910620718
22082,00022082.jpg,6,162.48,113.09,128.6,0.024739458954166852
464,00000464.jpg,6,204.25,126.98,146.54,0.018133332922150403
174,00000174.jpg,6,185.06,147.01,127.17,0.019963062903540624
13018,00013018.jpg,6,190.09,137.86,118.81,0.03232313167235676
4979,00004979.jpg,7,102.65,87.49,116.41,0.027831728442535033
5015,00005015.jpg,7,137.52,99.0,97.55,0.03120468732305651
6212,00006212.jpg,5,207.94,152.18,165.93,0.03297295842060633
18634,00018634.jpg,6,185.35,128.81,117.67,0.028239653616266423
27556,00027556.jpg,6,186.13,133.7,123.04,0.030896737430710742
7117,00007117.jpg,9,61.15,43.11,43.11,0.03131006714208523
7324,00007324.jpg,9,70.82,49.36,48.34,0.03213483526916306
2703,00002703.jpg,5,207.87,163.27,155.3,0.028673446878402505
6677,00006677.jpg,7,158.46,113.38,119.12,0.027949619245405757
21601,00021601.jpg,7,133.89,105.52,92.38,0.033238873916723345
27461,00027461.jpg,6,154.67,119.58,125.95,0.03445947005327762
16629,00016629.jpg,6,202.04,152.09,133.16,0.02075297762727161
11703,00011703.jpg,7,132.16,92.86,76.75,0.030489048104557676
26842,00026842.jpg,4,253.78,187.34,178.12,0.033581970491560684
25656,00025656.jpg,6,161.35,117.23,156.15,0.01896741239390607
7661,00007661.jpg,5,216.11,156.54,153.46,0.024827424594022162
29660,00029660.jpg,7,157.69,105.42,128.85,0.02694382504337954
26499,00026499.jpg,8,115.53,86.73,86.4,0.033284390522484227
25442,00025442.jpg,5,204.03,152.55,147.68,0.028073232449271762
10957,00010957.jpg,9,78.06,60.72,50.43,0.033170859301552294
20425,00020425.jpg,5,223.53,171.65,156.91,0.019291679207776826
13260,00013260.jpg,8,98.21,78.94,75.08,0.029487123848558672
22648,00022648.jpg,6,180.0,128.37,142.23,0.028103155190966362
2195,00002195.jpg,5,198.2,132.91,171.59,0.02438751444085021
13811,00013811.jpg,3,252.92,211.44,209.26,0.02927680143486179
111,00000111.jpg,8,113.12,78.75,86.73,0.028507824228886938
5335,00005335.jpg,6,159.07,133.99,125.4,0.0298697386687243
26212,00026212.jpg,7,152.94,104.94,124.69,0.02318708512046943
318,00000318.jpg,6,181.94,119.78,106.74,0.029045232195042014
19765,00019765.jpg,6,185.32,131.69,154.48,0.02785771735725909
28948,00028948.jpg,4,241.96,185.04,190.82,0.02485158388054813
9154,00009154.jpg,8,117.83,91.2,76.65,0.03186526554126278
22280,00022280.jpg,5,223.19,161.81,158.04,0.023874580807159027
2895,00002895.jpg,7,126.45,89.33,93.63,0.026312138082373017
23050,00023050.jpg,7,143.72,99.29,122.73,0.03376667824462886
23839,00023839.jpg,5,200.99,157.83,149.39,0.02073090307633409
16908,00016908.jpg,7,155.15,100.51,95.57,0.02585483417011009
19521,00019521.jpg,9,57.46,47.7,35.89,0.028147710217171114
8878,00008878.jpg,7,123.2,92.45,91.94,0.019961407718634014
23450,00023450.jpg,7,146.95,103.76,86.74,0.026666323941029146
10851,00010851.jpg,7,114.94,99.48,78.15,0.016523250878176656
17615,00017615.jpg,7,140.64,94.19,108.98,0.02561907123026033
5420,00005420.jpg,8,119.63,83.02,83.96,0.02642265877678482
22791,00022791.jpg,5,194.8,167.4,163.45,0.02805148333675402
10939,00010939.jpg,8,118.51,90.27,68.25,0.03200325649562178
15120,00015120.jpg,7,124.38,111.93,81.5,0.019487605608301185
6027,00006027.jpg,6,206.13,148.43,135.38,0.02784269206256557
30131,00030131.jpg,6,190.83,150.12,136.08,0.030367596674162944
2341,00002341.jpg,8,103.67,79.84,83.77,0.031404156196273174
15197,00015197.jpg,6,160.14,124.45,134.54,0.028793435191587616
9001,00009001.jpg,8,88.05,65.2,62.15,0.033045084584989726
14689,00014689.jpg,7,144.96,94.77,109.15,0.03254832784583692
20186,00020186.jpg,8,92.25,63.66,60.96,0.029648885525505795
26473,00026473.jpg,6,198.0,147.85,137.59,0.030033316488047804
12099,00012099.jpg,8,100.13,81.2,62.76,0.020459960921550384
16298,00016298.jpg,6,185.53,135.26,113.91,0.02299968957216575
9586,00009586.jpg,8,106.77,70.64,76.79,0.027076439049790884
24024,00024024.jpg,7,139.19,110.64,105.42,0.0200609436927747
15011,00015011.jpg,7,151.24,98.53,125.76,0.03365223773055526
25794,00025794.jpg,6,180.22,134.17,139.57,0.025581043518003933
24766,00024766.jpg,5,209.48,159.69,143.53,0.021949523908755757
68,00000068.jpg,6,209.59,146.14,134.81,0.02952420007911881
10092,00010092.jpg,8,95.61,73.08,68.76,0.03125079896476688
16956,00016956.jpg,6,191.47,130.53,114.21,0.030908612429939464
28472,00028472.jpg,6,192.86,148.17,142.83,0.024155167876915417
13889,00013889.jpg,5,219.69,169.97,169.63,0.02424482104572122
23544,00023544.jpg,7,154.13,110.1,102.89,0.030700471288083595
20612,00020612.jpg,7,124.05,81.45,94.85,0.03221311321809936
4370,00004370.jpg,9,79.18,51.13,52.61,0.03163714272073991
717,00000717.jpg,8,103.8,73.96,77.09,0.029988116627328334
28380,00028380.jpg,8,103.86,81.69,83.06,0.034612818953629616
24190,00024190.jpg,6,186.65,139.27,131.04,0.03053154437000966
17884,00017884.jpg,8,105.53,75.59,77.32,0.03401563105266949
18495,00018495.jpg,9,78.61,62.02,57.47,0.028032960207385896
17444,00017444.jpg,5,203.76,162.31,138.43,0.026894860095648333
4022,00004022.jpg,7,144.22,106.11,109.44,0.024367053774232175
28850,00028850.jpg,9,72.12,55.15,52.14,0.02235622191394485
9935,00009935.jpg,6,186.02,144.66,131.22,0.03160768633904741
20924,00020924.jpg,5,210.51,155.26,148.89,0.02776922194999418
17754,00017754.jpg,4,244.04,196.7,185.97,0.03334062842339766
21724,00021724.jpg,5,212.02,158.11,147.49,0.0291511947526015
19552,00019552.jpg,7,127.72,99.23,88.12,0.033196163134056135
2640,00002640.jpg,6,177.27,113.1,132.78,0.03036120515759425
8937,00008937.jpg,6,191.01,132.49,125.87,0.029661962387073117
19575,00019575.jpg,7,138.68,112.06,104.04,0.029512808398847845
11246,00011246.jpg,6,176.15,132.95,120.5,0.027283768772542766
13633,00013633.jpg,6,169.72,123.48,121.08,0.024198248958787385
2905,00002905.jpg,9,73.65,56.09,52.57,0.030522059307491863
3356,00003356.jpg,5,204.68,160.5,194.06,0.028337815776318876
9473,00009473.jpg,7,120.47,96.9,78.0,0.030422856387058654
18144,00018144.jpg,5,207.04,157.34,159.41,0.021147570548521687
29658,00029658.jpg,7,175.94,107.77,100.61,0.027469981532601592
2293,00002293.jpg,7,132.37,99.62,105.79,0.032922413723899355
15628,00015628.jpg,8,88.91,70.44,59.7,0.02736542958266714
18661,00018661.jpg,9,74.55,54.58,45.21,0.032701867053626786
629,00000629.jpg,7,127.99,90.96,107.85,0.033771241495607805
4219,00004219.jpg,6,194.03,144.44,137.06,0.029605091260429622
5231,00005231.jpg,8,90.65,64.45,66.04,0.027990127663362147
23393,00023393.jpg,5,213.53,154.25,141.32,0.0277169645129352
19282,00019282.jpg,7,166.46,108.4,108.54,0.02960446538774739
12232,00012232.jpg,5,202.81,148.94,157.67,0.03419810700784106
19789,00019789.jpg,7,160.32,116.98,115.91,0.028808600993145767
21156,00021156.jpg,6,198.2,140.58,124.52,0.030830604033893802
228,00000228.jpg,7,136.8,99.2,101.97,0.028695334451301714
18344,00018344.jpg,6,190.09,141.18,130.21,0.028145532963559036
16474,00016474.jpg,8,113.97,83.86,79.15,0.033385190930142805
2752,00002752.jpg,6,167.91,122.7,116.86,0.022906283695319773
